"X","Y","G_obs","p_value","Coef_b11"
"Solea_solea","Sardina_pilchardus",0,0.907,-0.01
"Trachurus_mediterraneus_juv","Merluccius_merluccius_juv",0,0.771,0.02
"Lophius_piscatorius","Merluccius_merluccius_juv",0,0.936,0.02
"Illex_coindetii","Merluccius_merluccius_adu",0,0.831,-0.02
"Pagellus_acarne","Merluccius_merluccius_adu",0,0.822,0.02
"Illex_coindetii","Sardina_pilchardus",0,0.766,0.02
"Lophius_piscatorius","Sardina_pilchardus",0,0.899,-0.02
"Pagellus_erythrinus","Sardina_pilchardus",0,0.791,0.02
"Phycis_blennoides_juv","Engraulis_encrasicolus",0,0.865,0.02
"Micromesistius_poutassou","Engraulis_encrasicolus",0,0.828,-0.02
"Pagellus_bogaraveo","Engraulis_encrasicolus",0,0.761,0.02
"Trachurus_trachurus_adu","Merluccius_merluccius_juv",0,0.796,-0.03
"Zeus_faber","Eledone_cirrhosa_adu",0,0.796,0.03
"Helicolenus_dactylopterus_juv","Merluccius_merluccius_adu",0,0.816,0.03
"Lophius_budegassa_juv","Merluccius_merluccius_adu",0,0.767,-0.03
"Helicolenus_dactylopterus_adu","Merluccius_merluccius_adu",0,0.895,0.03
"Merluccius_merluccius_juv","Sardina_pilchardus",0,0.83,-0.03
"Trachurus_trachurus_adu","Sardina_pilchardus",0,0.72,0.03
"Micromesistius_poutassou","Sardina_pilchardus",0,0.74,0.03
"Octopus_vulgaris","Sardina_pilchardus",0,0.9,-0.03
"Merluccius_merluccius_juv","Engraulis_encrasicolus",0,0.833,0.03
"Eledone_cirrhosa_adu","Engraulis_encrasicolus",0,0.899,0.03
"Engraulis_encrasicolus","Eledone_cirrhosa_juv",0,0.845,-0.04
"Micromesistius_poutassou","Eledone_cirrhosa_juv",0,0.704,0.04
"Solea_solea","Eledone_cirrhosa_adu",0,0.718,0.04
"Zeus_faber","Lophius_budegassa_adu",0,0.771,-0.04
"Sardina_pilchardus","Merluccius_merluccius_adu",0,0.841,0.04
"Mullus_surmuletus","Merluccius_merluccius_adu",0,0.821,-0.04
