"X","Y","Leng_T.series","Effect_sens","lag","i","j","P_val_WT","Effect_Size","Coef_b11","Coef_b21","Coef_a1"
"Citharus_linguatula","Lophius_budegassa_adu",28,"x_cause_y",1,24,14,0.732,0,0.05,0.45,0.49
"Illex_coindetii","Lophius_budegassa_adu",28,"x_cause_y",1,25,14,0.96,-0.01,0,0.49,0.49
"Lepidorhombus_boscii","Lophius_budegassa_adu",28,"x_cause_y",1,26,14,0.69,0,0.12,0.45,0.49
"Loligo_vulgaris","Lophius_budegassa_adu",28,"x_cause_y",1,27,14,0.104,0.1,-0.08,0.5,0.49
"Lophius_piscatorius","Lophius_budegassa_adu",28,"x_cause_y",1,28,14,0.051,0.15,-0.23,0.5,0.49
"Micromesistius_poutassou","Lophius_budegassa_adu",28,"x_cause_y",1,29,14,0.903,-0.01,0.01,0.49,0.49
"Mullus_surmuletus","Lophius_budegassa_adu",28,"x_cause_y",1,30,14,0.493,0.01,-0.12,0.52,0.49
"Octopus_vulgaris","Lophius_budegassa_adu",28,"x_cause_y",1,31,14,0.831,-0.01,-0.04,0.49,0.49
"Pagellus_acarne","Lophius_budegassa_adu",28,"x_cause_y",1,32,14,0.213,0.06,0.13,0.43,0.49
"Pagellus_bogaraveo","Lophius_budegassa_adu",28,"x_cause_y",1,33,14,0.01,0.27,-0.16,0.39,0.49
"Pagellus_erythrinus","Lophius_budegassa_adu",28,"x_cause_y",1,34,14,0.207,0.06,-0.11,0.41,0.49
"Solea_solea","Lophius_budegassa_adu",28,"x_cause_y",1,35,14,0.104,0.1,0.22,0.24,0.49
"Zeus_faber","Lophius_budegassa_adu",28,"x_cause_y",1,36,14,0.771,0,-0.04,0.53,0.49
"Eledone_cirrhosa_juv","Merluccius_merluccius_adu",28,"x_cause_y",1,1,15,0.684,0.01,0.06,-0.11,-0.11
"Eutrigla_gurnardus_juv","Merluccius_merluccius_adu",28,"x_cause_y",1,2,15,0.158,0.08,0.27,-0.13,-0.11
"Helicolenus_dactylopterus_juv","Merluccius_merluccius_adu",28,"x_cause_y",1,3,15,0.816,0,0.03,-0.13,-0.11
"Lophius_budegassa_juv","Merluccius_merluccius_adu",28,"x_cause_y",1,4,15,0.767,0,-0.03,-0.11,-0.11
"Merluccius_merluccius_juv","Merluccius_merluccius_adu",28,"x_cause_y",1,5,15,0.003,0.38,0.35,-0.12,-0.11
"Nephrops_norvegicus_juv","Merluccius_merluccius_adu",28,"x_cause_y",1,6,15,0.111,0.11,0.23,-0.21,-0.11
"Phycis_blennoides_juv","Merluccius_merluccius_adu",28,"x_cause_y",1,7,15,0.101,0.11,0.21,-0.12,-0.11
"Trachurus_mediterraneus_juv","Merluccius_merluccius_adu",28,"x_cause_y",1,8,15,0.336,0.04,0.05,-0.15,-0.11
"Trachurus_trachurus_juv","Merluccius_merluccius_adu",28,"x_cause_y",1,9,15,0.147,0.09,-0.13,-0.14,-0.11
"Trisopterus_capelanus_juv","Merluccius_merluccius_adu",28,"x_cause_y",1,10,15,0.088,0.12,0.24,0.01,-0.11
